,agree_percent,member1_id,member2_id,fullname_1,twitter_account_1,party_x,fullname_2,twitter_account_2,party_y,same_gender,same_age,same_state,neighborState,distance,ademic,jaccard
497,93.43,J000290,T000477,Lynn Jenkins,RepLynnJenkins,R,Scott Taylor,RepScottTaylor,R,0,0,0,0,19.550260600496088,0.0,0.0
502,92.87,J000290,T000475,Lynn Jenkins,RepLynnJenkins,R,Dave Trott,repdavetrott,R,0,1,0,0,12.642584103799884,6.441454142939791,0.30927835051546393
505,96.41,J000290,V000129,Lynn Jenkins,RepLynnJenkins,R,David Valadao,RepDavidValadao,R,0,0,0,0,24.534403942698827,2.3480380478503773,0.13095238095238096
511,93.86,J000290,W000820,Lynn Jenkins,RepLynnJenkins,R,Mimi Walters,RepMimiWalters,R,1,1,0,0,22.744408305048264,8.141305175609686,0.3064516129032258
512,95.39,J000290,W000814,Lynn Jenkins,RepLynnJenkins,R,Randy Weber,TXRandy14,R,0,0,0,0,9.044716157121753,7.404330601024201,0.3119266055045872
515,94.2,J000290,W000821,Lynn Jenkins,RepLynnJenkins,R,Bruce Westerman,RepWesterman,R,0,1,0,0,4.806126906321269,0.4108462491943261,0.028169014084507043
516,92.44,J000290,W000816,Lynn Jenkins,RepLynnJenkins,R,Roger Williams,RepRWilliams,R,0,0,0,0,7.376673683048557,7.307293785335472,0.3207547169811321
517,93.73,J000290,W000795,Lynn Jenkins,RepLynnJenkins,R,Joe Wilson,RepJoeWilson,R,0,0,0,0,14.873328363299567,3.3438753843524154,0.1839080459770115
535,96.93,J000299,K000362,Mike Johnson,RepMikeJohnson,R,Steve King,SteveKingIA,R,1,0,0,0,10.926644193412368,0.6482079612685334,0.05660377358490566
548,96.94,J000299,L000576,Mike Johnson,RepMikeJohnson,R,Billy Long,USRepLong,R,1,0,0,0,5.21697395087161,5.324085125208418,0.1953125
553,88.65,J000299,M001193,Mike Johnson,RepMikeJohnson,R,Tom MacArthur,RepTomMacArthur,R,1,0,0,0,20.33575727839707,2.536692908847024,0.16666666666666666
555,94.93,J000299,M001179,Mike Johnson,RepMikeJohnson,R,Tom Marino,RepTomMarino,R,1,0,0,0,19.21761898123261,5.630358677342692,0.1984732824427481
557,81.43,J000299,M001184,Mike Johnson,RepMikeJohnson,R,Thomas Massie,RepThomasMassie,R,1,1,0,0,11.066774198456088,3.3742931350219822,0.16666666666666666
563,89.64,J000299,M001180,Mike Johnson,RepMikeJohnson,R,David McKinley,RepMcKinley,R,1,0,0,0,14.97376551785622,4.9115129686305465,0.19327731092436976
565,91.17,J000299,M001197,Mike Johnson,RepMikeJohnson,R,Martha McSally,RepMcSally,R,0,1,0,0,16.7783207071548,4.053776267200411,0.2345679012345679
568,95.13,J000299,M001201,Mike Johnson,RepMikeJohnson,R,Paul Mitchell,RepPaulMitchell,R,1,0,0,0,15.382770410095382,6.578751928481193,0.42028985507246375
577,94.59,J000299,P000601,Mike Johnson,RepMikeJohnson,R,Steven Palazzo,CongPalazzo,R,1,1,0,1,4.152953162538276,2.8769521989758275,0.1414141414141414
593,95.26,J000299,R000582,Mike Johnson,RepMikeJohnson,R,Phil Roe,DrPhilRoe,R,1,0,0,0,11.285042300814018,2.9221889437233783,0.1891891891891892
598,98.02,J000299,R000607,Mike Johnson,RepMikeJohnson,R,Francis Rooney,RepRooney,R,1,0,0,0,12.535845760160868,4.076050703313754,0.3157894736842105
634,91.04,J000299,V000129,Mike Johnson,RepMikeJohnson,R,David Valadao,RepDavidValadao,R,1,1,0,0,27.013626390569463,0.9973364435419482,0.08064516129032258
644,97.08,J000299,W000821,Mike Johnson,RepMikeJohnson,R,Bruce Westerman,RepWesterman,R,1,1,0,1,2.4286284328497345,0.19175691638021128,0.022727272727272728
663,91.53,J000292,K000362,Bill Johnson,RepBillJohnson,R,Steve King,SteveKingIA,R,1,1,0,0,13.394403716563776,1.9390176324968824,0.07377049180327869
668,97.08,J000292,L000585,Bill Johnson,RepBillJohnson,R,Darin LaHood,RepLaHood,R,1,0,0,0,8.534289851327648,5.252648483119066,0.192
681,95.6,J000292,M001193,Bill Johnson,RepBillJohnson,R,Tom MacArthur,RepTomMacArthur,R,1,1,0,0,7.020633239219072,6.277897107249626,0.2230769230769231
693,95.01,J000292,M001197,Bill Johnson,RepBillJohnson,R,Martha McSally,RepMcSally,R,0,0,0,0,29.467465237610806,9.500494581325249,0.33587786259541985
705,95.07,J000292,P000601,Bill Johnson,RepBillJohnson,R,Steven Palazzo,CongPalazzo,R,1,0,0,0,11.52644253020562,12.371147492120285,0.4351145038167939
715,95.25,J000292,R000601,Bill Johnson,RepBillJohnson,R,John Ratcliffe,RepRatcliffe,R,1,0,0,0,15.28451408419518,11.864450080879777,0.3706293706293706
726,92.6,J000292,R000607,Bill Johnson,RepBillJohnson,R,Francis Rooney,RepRooney,R,1,1,0,0,13.32096656104379,4.160535158237205,0.1450381679389313
762,97.95,J000292,V000129,Bill Johnson,RepBillJohnson,R,David Valadao,RepDavidValadao,R,1,0,0,0,38.475147871879656,3.869762506733665,0.14516129032258066
768,93.52,J000292,W000820,Bill Johnson,RepBillJohnson,R,Mimi Walters,RepMimiWalters,R,0,1,0,0,36.623688637246474,14.168549427894245,0.4513888888888889
772,92.96,J000292,W000821,Bill Johnson,RepBillJohnson,R,Bruce Westerman,RepWesterman,R,1,0,0,0,12.91130557060672,0.4108462491943261,0.01694915254237288
789,90.81,J000174,K000210,Sam Johnson,SamsPressShop,R,Peter King,RepPeteKing,R,1,0,0,0,24.52305123680461,0.4010296727140611,0.05263157894736842
790,96.72,J000174,K000362,Sam Johnson,SamsPressShop,R,Steve King,SteveKingIA,R,1,0,0,0,9.672028045404296,1.97181626639528,0.2368421052631579
795,93.47,J000174,L000585,Sam Johnson,SamsPressShop,R,Darin LaHood,RepLaHood,R,1,0,0,0,9.632005066526617,1.2024229704017109,0.1016949152542373
803,96.8,J000174,L000576,Sam Johnson,SamsPressShop,R,Billy Long,USRepLong,R,1,0,0,0,4.815486192624429,3.8354337200148363,0.14285714285714285
807,96.72,J000174,L000569,Sam Johnson,SamsPressShop,R,Blaine Luetkemeyer,RepBlainePress,R,1,0,0,0,7.415133868983724,1.6744620366720462,0.13559322033898305
808,87.37,J000174,M001193,Sam Johnson,SamsPressShop,R,Tom MacArthur,RepTomMacArthur,R,1,0,0,0,23.09173235272273,1.3109390273752854,0.08695652173913042
810,95.03,J000174,M001179,Sam Johnson,SamsPressShop,R,Tom Marino,RepTomMarino,R,1,0,0,0,21.71208226441702,5.5836137188317405,0.21311475409836064
812,82.55,J000174,M001184,Sam Johnson,SamsPressShop,R,Thomas Massie,RepThomasMassie,R,1,0,0,0,13.335760021829474,2.58227939514107,0.14285714285714285
815,97.2,J000174,M001157,Sam Johnson,SamsPressShop,R,Michael McCaul,RepMcCaul,R,1,0,1,0,3.1871616921330985,4.099657169324681,0.4390243902439024
818,88.93,J000174,M001180,Sam Johnson,SamsPressShop,R,David McKinley,RepMcKinley,R,1,0,0,0,17.491847665613314,4.223057607620674,0.17699115044247787
820,91.36,J000174,M001197,Sam Johnson,SamsPressShop,R,Martha McSally,RepMcSally,R,0,0,0,0,13.398818035747066,1.8420996419743176,0.1097560975609756
823,95.81,J000174,M001201,Sam Johnson,SamsPressShop,R,Paul Mitchell,RepPaulMitchell,R,1,0,0,0,16.998707712991347,2.266002214234548,0.14102564102564102
832,95.84,J000174,P000601,Sam Johnson,SamsPressShop,R,Steven Palazzo,CongPalazzo,R,1,0,0,0,7.810062107098527,4.288655389272466,0.2380952380952381
834,90.01,J000174,P000594,Sam Johnson,SamsPressShop,R,Erik Paulsen,RepErikPaulsen,R,1,0,0,0,12.233864266953418,5.884441206333778,0.21774193548387094
846,95.42,J000174,R000597,Sam Johnson,SamsPressShop,R,Tom Rice,RepTomRice,R,1,0,0,0,17.11043247665599,4.869019623103869,0.19327731092436976
848,96.35,J000174,R000582,Sam Johnson,SamsPressShop,R,Phil Roe,DrPhilRoe,R,1,0,0,0,14.154294055328705,2.961486632568754,0.2153846153846154
849,95.68,J000174,R000395,Sam Johnson,SamsPressShop,R,Harold Rogers,RepHalRogers,R,1,1,0,0,13.753743041714781,2.48337007342377,0.18181818181818185
853,98.42,J000174,R000607,Sam Johnson,SamsPressShop,R,Francis Rooney,RepRooney,R,1,0,0,0,16.22521382685863,1.5495405529195618,0.11864406779661014
856,92.91,J000174,R000580,Sam Johnson,SamsPressShop,R,Peter Roskam,PeterRoskam,R,1,0,0,0,12.241107386341,5.894526609804075,0.21600000000000003
857,98.22,J000174,R000593,Sam Johnson,SamsPressShop,R,Dennis Ross,RepDennisRoss,R,1,0,0,0,15.45495411459655,5.013114506032713,0.2
858,96.48,J000174,R000598,Sam Johnson,SamsPressShop,R,Keith Rothfus,KeithRothfus,R,1,0,0,0,18.602920259912725,2.57014244612496,0.14814814814814814
878,90.47,J000174,S001196,Sam Johnson,SamsPressShop,R,Elise Stefanik,RepStefanik,R,0,0,0,0,24.605387200769464,4.32825253686181,0.16129032258064516
881,96.24,J000174,T000477,Sam Johnson,SamsPressShop,R,Scott Taylor,RepScottTaylor,R,1,0,0,0,21.118091145249505,0.0,0.0
883,90.31,J000174,T000467,Sam Johnson,SamsPressShop,R,Glenn Thompson,CongressmanGT,R,1,0,0,0,19.827070757337626,5.3734512525517175,0.1937984496124031
886,95.49,J000174,T000475,Sam Johnson,SamsPressShop,R,Dave Trott,repdavetrott,R,1,0,0,0,16.155738151866533,2.501606093290897,0.15384615384615385
889,90.58,J000174,V000129,Sam Johnson,SamsPressShop,R,David Valadao,RepDavidValadao,R,1,0,0,0,23.419365313017305,1.4553217591040268,0.13725490196078433
894,97.52,J000174,W000813,Sam Johnson,SamsPressShop,R,Jackie Walorski,RepWalorski,R,0,0,0,0,13.15933368499778,4.502351991991196,0.21649484536082475
895,97.79,J000174,W000820,Sam Johnson,SamsPressShop,R,Mimi Walters,RepMimiWalters,R,0,0,0,0,21.063281813875808,3.103395021319783,0.13636363636363635
896,94.42,J000174,W000814,Sam Johnson,SamsPressShop,R,Randy Weber,TXRandy14,R,1,0,1,0,4.074592197430305,5.141955605605224,0.27710843373493976
899,97.53,J000174,W000821,Sam Johnson,SamsPressShop,R,Bruce Westerman,RepWesterman,R,1,0,0,1,3.5663541938067174,0.19175691638021128,0.028571428571428567
901,97.53,J000174,W000795,Sam Johnson,SamsPressShop,R,Joe Wilson,RepJoeWilson,R,1,0,0,0,15.248027802656761,2.4944856608929302,0.2222222222222222
909,92.95,J000174,Z000017,Sam Johnson,SamsPressShop,R,Lee Zeldin,RepLeeZeldin,R,1,0,0,0,25.16087299549274,2.8790972137298434,0.1206896551724138
911,59.47,J000255,J000295,Walter Jones,RepWalterJones,R,Dave Joyce,RepDaveJoyce,R,1,0,0,0,7.417404620732532,12.099853202025116,0.4274809160305344
915,60.64,J000255,K000210,Walter Jones,RepWalterJones,R,Peter King,RepPeteKing,R,1,1,0,0,6.344090442238122,1.2912349250160449,0.0576923076923077
916,61.01,J000255,K000362,Walter Jones,RepWalterJones,R,Steve King,SteveKingIA,R,1,1,0,0,19.22683757171624,2.4264070301898406,0.10377358490566037
918,60.88,J000255,K000387,Walter Jones,RepWalterJones,R,Steve Knight,SteveKnight25,R,1,0,0,0,41.4841370578799,0.18909786404425666,0.009708737864077669
921,62.33,J000255,L000585,Walter Jones,RepWalterJones,R,Darin LaHood,RepLaHood,R,1,0,0,0,14.106346255090651,4.0116822749700125,0.16379310344827586
927,61.39,J000255,L000587,Walter Jones,RepWalterJones,R,Jason Lewis,RepJasonLewis,R,1,0,0,0,18.417213721367027,0.8311601771588256,0.03669724770642202
928,59.92,J000255,L000554,Walter Jones,RepWalterJones,R,Frank LoBiondo,RepLoBiondo,R,1,1,0,0,4.472966583863032,0.6378039516093433,0.02803738317757009
929,60.99,J000255,L000576,Walter Jones,RepWalterJones,R,Billy Long,USRepLong,R,1,0,0,0,16.960318466913492,14.632632886462776,0.4557823129251701
932,60.68,J000255,L000491,Walter Jones,RepWalterJones,R,Frank Lucas,RepFrankLucas,R,1,0,0,0,22.041104472865186,1.7380313875018936,0.07272727272727272
933,61.1,J000255,L000569,Walter Jones,RepWalterJones,R,Blaine Luetkemeyer,RepBlainePress,R,1,1,0,0,15.077338520767064,5.117242153754641,0.21238938053097345
934,60.18,J000255,M001193,Walter Jones,RepWalterJones,R,Tom MacArthur,RepTomMacArthur,R,1,0,0,0,5.022812223885538,5.7159254289016745,0.2184873949579832
941,60.66,J000255,M001157,Walter Jones,RepWalterJones,R,Michael McCaul,RepMcCaul,R,1,0,0,0,20.528918299029204,3.870572376148432,0.15178571428571427
946,62.26,J000255,M001197,Walter Jones,RepWalterJones,R,Martha McSally,RepMcSally,R,0,0,0,0,33.33424812512534,8.197387799158955,0.3089430894308943
954,62.16,J000255,N000184,Walter Jones,RepWalterJones,R,Kristi Noem,RepKristiNoem,R,0,0,0,0,25.091227937086412,7.8801636363846255,0.3083333333333333
957,61.7,J000255,O000168,Walter Jones,RepWalterJones,R,Pete Olson,RepPeteOlson,R,1,0,0,0,19.78152781090945,14.206725284981658,0.52
968,62.04,J000255,R000601,Walter Jones,RepWalterJones,R,John Ratcliffe,RepRatcliffe,R,1,0,0,0,18.717273391471124,9.448964449487804,0.30935251798561153
969,60.63,J000255,R000585,Walter Jones,RepWalterJones,R,Tom Reed,RepTomReed,R,1,0,0,0,6.9578749687628525,12.22604284026508,0.4318181818181818
974,62.13,J000255,R000582,Walter Jones,RepWalterJones,R,Phil Roe,DrPhilRoe,R,1,1,0,1,6.0368978752713565,7.970083256580637,0.33035714285714285
979,61.19,J000255,R000607,Walter Jones,RepWalterJones,R,Francis Rooney,RepRooney,R,1,0,0,0,10.294692450491514,4.4622552194447405,0.1724137931034483
984,61.88,J000255,R000598,Walter Jones,RepWalterJones,R,Keith Rothfus,KeithRothfus,R,1,0,0,0,5.660158500202341,7.966585219322053,0.2936507936507937
991,61.07,J000255,S001176,Walter Jones,RepWalterJones,R,Steve Scalise,SteveScalise,R,1,0,0,0,14.446782381645985,21.37367383984946,0.521978021978022
994,62.91,J000255,S000244,Walter Jones,RepWalterJones,R,F. Sensenbrenner,JimPressOffice,R,1,1,0,0,14.061658906171058,2.4993627415431483,0.10619469026548672
1007,61.49,J000255,T000477,Walter Jones,RepWalterJones,R,Scott Taylor,RepScottTaylor,R,1,0,0,1,2.1120710283196225,0.0,0.0
1015,60.79,J000255,V000129,Walter Jones,RepWalterJones,R,David Valadao,RepDavidValadao,R,1,0,0,0,43.04769675732321,2.5174008921180824,0.10344827586206896
1022,62.36,J000255,W000814,Walter Jones,RepWalterJones,R,Randy Weber,TXRandy14,R,1,0,0,0,19.06168977407388,11.015642095742493,0.3968253968253968
1025,62.09,J000255,W000821,Walter Jones,RepWalterJones,R,Bruce Westerman,RepWesterman,R,1,0,0,0,16.448792975411255,0.6403773103187028,0.029126213592233014
1026,61.43,J000255,W000816,Walter Jones,RepWalterJones,R,Roger Williams,RepRWilliams,R,1,1,0,0,21.370799327171227,10.05251734857918,0.3622047244094488
1027,61.63,J000255,W000795,Walter Jones,RepWalterJones,R,Joe Wilson,RepJoeWilson,R,1,1,0,1,4.90809185439211,4.472356667711287,0.1826086956521739
1036,90.06,J000289,J000295,Jim Jordan,Jim_Jordan,R,Dave Joyce,RepDaveJoyce,R,1,1,1,0,2.607975996734929,5.689831871594946,0.24107142857142855
1039,88.74,J000289,K000376,Jim Jordan,Jim_Jordan,R,Mike Kelly,MikeKellyPA,R,1,0,0,1,3.538276979660642,5.088890443001735,0.20689655172413796
1040,84.99,J000289,K000210,Jim Jordan,Jim_Jordan,R,Peter King,RepPeteKing,R,1,0,0,0,10.191014397036627,1.0948160871585482,0.08771929824561403
1043,92.28,J000289,K000387,Jim Jordan,Jim_Jordan,R,Steve Knight,SteveKnight25,R,1,1,0,0,35.343382554788406,0.18909786404425666,0.01818181818181818
1046,94.34,J000289,L000585,Jim Jordan,Jim_Jordan,R,Darin LaHood,RepLaHood,R,1,1,0,0,6.617667946251171,2.3708002447667766,0.14473684210526316
1047,90.78,J000289,L000578,Jim Jordan,Jim_Jordan,R,Doug LaMalfa,RepLaMalfa,R,1,1,0,0,38.0326435799879,3.778746379136236,0.1592920353982301
1048,92.26,J000289,L000564,Jim Jordan,Jim_Jordan,R,Doug Lamborn,RepDLamborn,R,1,0,0,0,21.944284649875627,5.249396995454143,0.21367521367521367
1049,87.05,J000289,L000567,Jim Jordan,Jim_Jordan,R,Leonard Lance,RepLanceNJ7,R,1,0,0,0,8.686918441578339,5.596314005657168,0.24761904761904766
1052,91.56,J000289,L000587,Jim Jordan,Jim_Jordan,R,Jason Lewis,RepJasonLewis,R,1,1,0,0,10.103200322922868,0.3855908534097777,0.031746031746031744
1053,84.13,J000289,L000554,Jim Jordan,Jim_Jordan,R,Frank LoBiondo,RepLoBiondo,R,1,0,0,0,8.682003496210513,0.5746887174540344,0.05084745762711865
1054,91.32,J000289,L000576,Jim Jordan,Jim_Jordan,R,Billy Long,USRepLong,R,1,1,0,0,10.879846273586967,6.255523170070816,0.2116788321167883
1055,93.23,J000289,L000583,Jim Jordan,Jim_Jordan,R,Barry Loudermilk,RepLoudermilk,R,1,1,0,0,6.630082940553532,2.620089711409037,0.1411764705882353
1057,89.57,J000289,L000491,Jim Jordan,Jim_Jordan,R,Frank Lucas,RepFrankLucas,R,1,1,0,0,16.035353947109673,1.2417877298740592,0.09375
